,Product Name,Price
0,HP Refurbished ProBook X360/11EE/4GB/128GB SSD/Touchscreen +free Sleeve,"KSh 15,999"
1,HP Refubrished ProBook X360 11EE 4GB 128GB SSDTouchscreen Red,"KSh 15,999"
2,"HP Refurbished Probook 11x360G2,128 SSD,4GB RAM,TOUCHSCREEN + FREE SLEEVE","KSh 18,300"
3,HP POWER Hp PROBOOK 11 X360/TOUCHSCREEN/4GB/128SSD/INTEL ,"KSh 14,999"
4,"Lenovo REFURBISHED THINKPAD YOGA 11E 4 GB RAM, 320HDD","KSh 11,999"
5,HP PROBOOK 11E/4GB/500HDD/INTEL,"KSh 15,500"
6,HP REFURBISHED HP 3125/3115/AMD/320 HDD/4 GB/BLACK STICKER+FREE SLEEVE,"KSh 11,999"
7,"HP Refurbished EliteBook 820, Intel Core I5, Slim Model ,8GB RAM , 500HDD, Black- 12.5"",  (6 Months WRTY)","KSh 17,999"
8,"HP Refurbished EliteBook 840 G1, Intel Core I7, 14"", 1TB HDD, 8GB RAM, Windows 10 PRO (6 Months WRTY)","KSh 26,000"
9,"HP ProBook X360 11 G2 EE 11.6"" Touchscreen Notebook - Intel M3-7Y30 - 8GB RAM, 128GB SSD - Windows 10 Pro – Refurbrished (6 Months WRTY)","KSh 30,000"
10,"HP Elitebook 840 G5 14"" FHD Refurbished Core I5-8250U,16GB RAM,512GB SSD Windows 10 Pro,  (6 Months WRTY)","KSh 46,999"
11,"Apple MacBook Pro 13"" Core I5 2.4GHz  16GB RAM, 1TB HDD (2012) Laptop Silver Refurbished,  (6 Months WRTY)","KSh 36,965"
12,"HP EliteBook 820 G4 Intel Core I5 7th Gen Refurbished 8GB-256GB SSD Silver-12.6"" (6 Months WRTY)","KSh 23,800"
13,"DELL Refurbished Latitude 7240 Core I5 8gb Ram + 256gb Ssd,  (6 Months WRTY)","KSh 20,100"
14,"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 1TB HDD (2012) Laptop Silver Refurbished,  (6 Months WRTY)","KSh 29,300"
15,"Apple MacBook Pro 13"" Core I5 2.4GHz 4GB RAM, 500GB HDD (2012) Laptop Silver Refurbished,  (6 Months WRTY)","KSh 25,998"
16,"HP EliteBook 840 G1 Core I5 12GB RAM 500gb Hdd Slim Ultrabook Laptop Refurbished,  (6 Months WRTY)","KSh 24,499"
17,HP EliteBook 820 G1 Core I7 8GB RAM 1TB Slim Ultrabook Laptop Refurbished (6 Months WRTY),"KSh 22,999"
18,"HP Refurbished Elitebook 840 G3 6th Gen, Core I5, 16GB RAM- SSD 256GB + 1TB HDD -14"".,  (6 Months WRTY)","KSh 35,999"
19,"HP Refurbished Elite X2 1012 G2 , 7th Gen Core I5, 8GB RAM, 256GB SSD, 12.5 Inches  TouchScreen (6 Months WRTY)","KSh 39,800"
20,HP  EliteBook x360 1030 G4 Intel Core i7 8th Gen 16GB RAM 512GB SSD 13.3 Inch FHD Touchscreen Display refurb,"KSh 52,000"
21,"Lenovo Thinkpad X240 Intel Core I5 8GB RAM 1TB HDD 12.5'' Black Refurbished,  (6 Months WRTY)","KSh 20,500"
22,"Infinix InBook X2 - 14.0"", Intel Core I5, 8GB RAM, 512GB SSD - Windows 11 Home - Grey","KSh 48,500"
23,"Lenovo Yoga 7, Core I7-1255U, 16GB RAM, 512GB SSD, Windows 11, 14"" 2.2K Touchscreen Display, Stone Blue + Digital Pen (1YR WRTY)","KSh 145,000"
24,"HP Envy X360 2-in-1 Laptop, Core 5 120U, 8GB RAM, 512GB SSD, 14"" FHD Touchscreen Display, Fingerprint Reader, Natural Silver (1YR WRTY)","KSh 105,000"
25,"HP ZBook Firefly 14 G8 Mobile Workstation, Core I5-1135G7, 16GB RAM, 1TB SSD, 14"" FHD Display, Windows 11 Pro, Fingerprint Reader, Grey (1YR WRTY)","KSh 170,000"
26,"Lenovo IdeaPad 1, Intel Celeron N4020, 8GB RAM, 256GB SSD, 14"" HD Display, Windows 11 Pro, Cloud Grey (1YR WRTY)","KSh 32,499"
27,"HP OMEN Gaming Laptop 16-wd0003nia, Core I7-13620H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 4060 8GB GDDR6, 16.1"" FHD Display, Windows 11 Home, Shadow Black (1YR WRTY)","KSh 220,000"
28,"Lenovo ThinkBook 16 G6, Core I7-13700H, 8GB RAM, 512GB SSD, Windows 11 Pro, 16"" WUXGA Display,Fingerprint Reader, Arctic Grey (1YR WRTY)","KSh 105,000"
29,"Lenovo ThinkPad E16 Gen 1, Core I7-1355U, 8GB RAM, 512GB SSD, 16"" WUXGA Display, Windows 11 Pro, Fingerprint Reader, Graphite Black (1YR WRTY)","KSh 115,000"
30,"HP 15-dw3211nia Laptop, Core I7-1165G7, 8GB RAM, 512GB SSD, 15.6"" HD Display, Windows 11 Pro, Black (1YR WRTY)","KSh 95,000"
31,"DELL Vostro 3520, Core I5-1235U, 8GB RAM, 512GB SSD, 15.6"" FHD Display, Windows 11, Carbon Black (1YR WRTY)","KSh 82,000"
32,"Lenovo Legion Pro 7 16IRX8H, Core I9-13900HX, 32GB RAM, 1TB SSD, NVIDIA GeForce RTX 4080 12GB GDDR6, 16"" WQXGA Display, Windows 11, Onyx Grey (1YR WRTY)","KSh 380,000"
33,"DELL Vostro 3520, Core I7-1255U, 8GB RAM, 512GB SSD, 15.6"" FHD Display, Windows 11, Carbon Black (1YR WRTY)","KSh 102,000"
34,"Lenovo Ideapad 1-12th Gen Intel Core I3-256GB SSD+4GB RAM-14 Inch HD-Grey-Bag+Mouse+64GB Flash, (1YR WRTY)","KSh 46,999"
35,"HP Spectre X360 2-in-1 Laptop, Core Ultra 7 155H, 16GB RAM, 1TB SSD, 14"" 2.8K OLED 120Hz Touch Screen, Fingerprint Reader, Nightfall Black (1YR WRTY)","KSh 195,000"
36,"DELL Latitude 5440, Core I7-1365U, 16GB RAM, 512GB SSD, 14"" FHD Display, Windows 11, Black (1YR WRTY)","KSh 185,000"
37,Vista Adjustable Plastic Laptop Stand Foldable Portable Laptop Holder,KSh 299
38,10inch Wireless Bluetooth Keyboard+Mouse 7 Colors Backlit Rechargeable Keyboard,"KSh 1,299"
39,Qwen Mini Wireless Mouse  & Keyboard Combo -Black,"KSh 1,200"
40,2.4G  Bluetooth Dual Mode Rechargeable Wireless Mouse Black,KSh 380
41,"Starlink Standard Actuated Kit: High-Speed, Low-Latency Internet with Gen 2 Router, Wi-Fi 5.","KSh 39,999"
42,LED 2.4G Rechargeable Wireless Mouse,KSh 390
43,Qwen Aluminum Alloy Laptop Stand Computer Stand,KSh 560
44,Bluetooth + 2.4G Dual-mode Rechargeable Wireless LED Mouse - Silver,KSh 330
45,"Handheld Rechargeable Mini Fan//c.e""",KSh 650
46,RichRipple Portable Plastic Laptop Stand 10-hole Adjustable Foldable Ipad Computer Stand,KSh 299
47,RichRipple Rechargeable 2.4G Wireless Slient Mouse Bluetooth 5.0 USB LED Ultrathin Mice,KSh 359
48,"Stand, Laptop Holder Riser Computer Stand, Adjustable Aluminum Foldable Portable Notebook Stand",KSh 900
49,Ultra-thin Wireless Mouse 2.4G Rechargeable,KSh 450
50,Portable ALUMINIUM ALLOY Fold-able Computer Support Laptop Stand,KSh 475
51,Foldable Portable Laptop Stand With Mobile Phone Stand 2 In 1,KSh 790
52,4 In 1 Type-c+HDMI+VGA+PD Charging+USB 3.0 Adapter Docking Station Hub,KSh 950
53,8 LED USB Powered Operated Mini White For Office Students Library,KSh 190
